,BLACKOPS W92 OPEN ,375,4,BLACKOPS.png,2,4,3
,ESCAPER 87 OPEN,520,5,ESCAPER.png,2,9,2
,EXPERIENCE 78 CARBON (XPRESS),430,2,EXPERIENCE_78.png,2,5,2
,EXPERIENCE 86 BASALT (KONECT),740,2,EXPERIENCE_86.png,2,8,2
,ENFANT EXPERIENCE Pro (Team 4GW),130,9,EXPERIENCE_PRO.png,2,1,2
,FREESTYLE TRIXIE,299,4,TRIXIE.png,2,5,4
,NOVA 10 TI (XPRESS) ,675,3,NOVA_10_TI.png,2,9,1
,QST 98 ,600,1,QST_98.png,2,12,3
,QST BLANK TEAM,350,6,QST_BLANK_TEAM.png,2,14,3
,S FORCE Ti.80 PRO,850,2,FORCE_Ti_80_PRO.png,2,18,1
,S MAX N°6 XT (and M10),450,5,MAX_XT.png,1,7,1
,SENDER 104 T1 OPEN,740,2,SENDER_104_TI_OPEN.png,3,12,3
,Signature PALMARES (KONECT) ,780,3,SIGNATURE_PALMARES.png,2,8,1
,SIGNATURE ROC 550 (XPRESS) ,540,3,SIGNATURE_ROC_550.png,2,6,1
,STRATO EDITION (Konect),1195,5,SIGNATURE_STRATO.png,3,11,1
